e1/do,e2/do,p1/do,p2/do,Nr,fu/fy,Fmax/fundt
1.2,1.2,0.0,0.0,1,1.36,1.23
1.5,1.2,0.0,0.0,1,1.36,1.57
2.0,1.2,0.0,0.0,1,1.36,1.65
1.0,1.5,0.0,0.0,1,1.36,1.02
1.2,1.5,0.0,0.0,1,1.36,1.34
1.5,1.5,0.0,0.0,1,1.36,1.61
2.0,1.5,0.0,0.0,1,1.36,2.31
2.5,1.5,0.0,0.0,1,1.36,2.28
1.0,1.5,0.0,0.0,1,1.36,1.03
1.2,1.5,0.0,0.0,1,1.36,1.27
1.5,1.5,0.0,0.0,1,1.36,1.58
2.0,1.5,0.0,0.0,1,1.36,2.23
2.5,1.5,0.0,0.0,1,1.36,2.30
1.5,1.2,3.7,0.0,2,1.36,1.71
2.5,1.2,3.7,0.0,2,1.36,2.23
1.5,1.5,3.0,0.0,2,1.36,1.73
2.5,1.5,3.0,0.0,2,1.36,2.30
3.0,1.0,0.0,0.0,1,1.12,1.26
1.2,1.2,0.0,0.0,1,1.12,1.31
1.5,1.2,0.0,0.0,1,1.12,1.65
2.0,1.2,0.0,0.0,1,1.12,1.73
3.0,1.2,0.0,0.0,1,1.12,1.71
2.5,1.4,0.0,0.0,1,1.12,2.14
3.0,1.4,0.0,0.0,1,1.12,2.12
3.4,1.2,0.0,0.0,1,1.12,1.78
1.0,1.5,0.0,0.0,1,1.12,1.10
1.5,1.5,0.0,0.0,1,1.12,1.75
2.0,1.5,0.0,0.0,1,1.12,2.32
2.5,1.5,0.0,0.0,1,1.12,2.48
3.0,1.5,0.0,0.0,1,1.12,2.45
3.0,1.3,0.0,0.0,1,1.12,2.09
1.5,1.5,0.0,0.0,1,1.12,1.78
1.5,1.5,0.0,0.0,1,1.12,1.74
1.5,2.0,0.0,0.0,1,1.12,1.89
2.0,2.0,0.0,0.0,1,1.12,2.55
2.5,2.0,0.0,0.0,1,1.12,3.03
3.5,2.0,0.0,0.0,1,1.12,3.79
4.2,1.7,0.0,0.0,1,1.12,2.85
4.2,1.4,0.0,0.0,1,1.12,2.36
4.2,1.2,0.0,0.0,1,1.12,1.90
3.0,1.0,2.0,0.0,2,1.12,1.35
1.2,1.2,2.4,0.0,2,1.12,1.39
2.0,1.2,2.4,0.0,2,1.12,1.90
3.0,1.2,2.4,0.0,2,1.12,1.88
3.0,1.2,2.7,0.0,2,1.12,2.03
3.0,1.5,2.7,0.0,2,1.12,2.33
1.0,1.5,3.0,0.0,2,1.12,1.17
1.2,1.5,3.0,0.0,2,1.12,1.45
3.0,1.5,3.0,0.0,2,1.12,2.51
2.0,1.4,2.4,0.0,2,1.12,2.00
1.0,3.0,0.0,0.0,1,1.12,0.50
1.2,3.0,0.0,0.0,1,1.12,0.62
1.5,3.0,0.0,0.0,1,1.12,0.80
2.0,3.0,0.0,0.0,1,1.12,1.05
2.5,3.0,0.0,0.0,1,1.12,1.25
1.5,1.5,0.0,0.0,1,1.12,0.75
1.5,1.1,0.0,0.0,1,1.12,0.67
1.5,0.8,0.0,0.0,1,1.12,0.34
1.0,3.0,0.0,0.0,1,1.04,0.51
1.2,3.0,0.0,0.0,1,1.04,0.60
1.5,3.0,0.0,0.0,1,1.04,0.81
2.0,3.0,0.0,0.0,1,1.04,1.06
2.5,3.0,0.0,0.0,1,1.04,1.31
1.5,1.5,0.0,0.0,1,1.04,0.77
1.5,1.1,0.0,0.0,1,1.04,0.69
1.5,0.8,0.0,0.0,1,1.04,0.36
1.0,3.0,0.0,0.0,1,1.04,0.51
1.2,3.0,0.0,0.0,1,1.04,0.64
1.5,3.0,0.0,0.0,1,1.04,0.81
2.0,3.0,0.0,0.0,1,1.04,1.08
2.5,3.0,0.0,0.0,1,1.04,1.30
1.5,1.5,0.0,0.0,1,1.04,0.77
1.5,1.1,0.0,0.0,1,1.04,0.68
1.5,0.8,0.0,0.0,1,1.04,0.36
2.0,4.5,2.0,0.0,2,1.12,1.85
2.5,4.5,2.0,0.0,2,1.12,2.07
3.0,4.5,2.0,0.0,2,1.12,2.24
2.0,4.5,3.0,0.0,2,1.12,2.16
2.0,4.5,2.0,0.0,2,1.04,1.82
2.5,4.5,2.0,0.0,2,1.04,2.02
3.0,4.5,2.0,0.0,2,1.04,2.22
2.0,4.5,3.0,0.0,2,1.04,2.13
2.0,4.5,2.0,0.0,2,1.04,1.83
2.5,4.5,2.0,0.0,2,1.04,2.02
3.0,4.5,2.0,0.0,2,1.04,2.19
2.0,4.5,3.0,0.0,2,1.04,2.12
2.0,4.5,3.0,0.0,3,1.12,2.17
2.0,4.5,3.0,0.0,3,1.12,2.21
2.0,4.5,3.0,0.0,3,1.12,2.16
2.5,4.5,2.0,0.0,3,1.12,1.92
2.5,4.5,2.0,0.0,3,1.12,1.92
3.0,4.5,2.0,0.0,3,1.12,2.08
2.0,4.5,3.0,0.0,3,1.04,2.17
2.0,4.5,3.0,0.0,3,1.04,2.16
2.0,4.5,3.0,0.0,3,1.04,2.14
2.5,4.5,2.0,0.0,3,1.04,1.88
2.5,4.5,2.0,0.0,3,1.04,1.92
3.0,4.5,2.0,0.0,3,1.04,2.06
2.0,4.5,3.0,0.0,3,1.04,2.11
2.0,4.5,3.0,0.0,3,1.04,1.97
2.0,4.5,3.0,0.0,3,1.04,2.02
2.5,4.5,2.0,0.0,3,1.04,1.91
2.5,4.5,2.0,0.0,3,1.04,1.91
3.0,4.5,2.0,0.0,3,1.04,2.08
2.4,2.4,0.0,0.0,1,1.15,2.50
2.6,2.4,0.0,0.0,1,1.15,2.77
2.9,2.4,0.0,0.0,1,1.15,3.07
1.9,2.4,0.0,0.0,1,1.49,2.22
2.4,2.4,0.0,0.0,1,1.49,2.69
